norm_title,pages,domains,sample_urls
studio 25,5,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-25 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-25 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-25 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-25 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-25
studio 34,5,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-34 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SUM-Studios/studio-34 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-34 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-34 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-34
studio 37,5,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-37 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM2-Studios/studio-37 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-37 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-37 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-37
studio 41,5,1,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018/CDE-2018_SM1-Studios/studio-41 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM1-Studios/studio-41 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019/CDE-2019_SM2-Studios/studio-41 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020/CDE-2020_SM1-Studios/studio-41 ; https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2021/CDE-2021_SM1-Studios/studio-41
results,5,1,https://students.unimelb.edu.au/course-admin/results ; https://students.unimelb.edu.au/course-admin/results?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/course-admin/results?in_c=sinfo-results.source~students.medium~page_listing.content~homepage-popular-pages ; https://students.unimelb.edu.au/your-course/manage-your-course/exams-assessments-and-results/results-and-academic-statements/results ; https://students.unimelb.edu.au/your-course/manage-your-course/exams-assessments-and-results/results-and-academic-statements/results?in_c=sinfo-results.source~students.medium~page_listing.content~homepage-popular-pages
student services workshops and sessions,5,1,https://students.unimelb.edu.au/student-support/advice-and-help/student-services-workshops-and-sessions ; https://students.unimelb.edu.au/student-support/advice-and-help/student-services-workshops-and-sessions?in_c=sinfo-workshops.source~students.medium~page_listing.content~homepage-promo-news-and-events ; https://students.unimelb.edu.au/support-and-wellbeing/student-services-workshops-and-sessions ; https://students.unimelb.edu.au/support-and-wellbeing/student-services-workshops-and-sessions?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~ ; https://students.unimelb.edu.au/support-and-wellbeing/student-services-workshops-and-sessions?in_c=sinfo-workshops.source~students.medium~page_listing.content~homepage-promo-news-and-events
online study,5,1,https://study.unimelb.edu.au/study-with-us/online-courses ; https://study.unimelb.edu.au/study-with-us/online-courses?f.Tabs%7CtypeCourse=Courses&log=false&num_ranks=9&profile=_default&query=%7CcourseStudyLevel%3Agraduate-coursework%7CcourseStudyMode%3Aonline%7CcourseLocation%3Aonline&collection=uom%7Esp-courses&f.Duration+-+3a%7CFUNalhb65wqglrxgk1i4r5flziuj=Less+than+1+year ; https://study.unimelb.edu.au/study-with-us/online-courses?f.Tabs%7CtypeCourse=Courses&f.Duration+-+3a%7CFUN6iitzhkefsfjrzkql6elior6y=1-2+years&log=false&num_ranks=9&profile=_default&query=%7CcourseStudyLevel%3Agraduate-coursework%7CcourseStudyMode%3Aonline%7CcourseLocation%3Aonline&collection=uom%7Esp-courses ; https://study.unimelb.edu.au/study-with-us/online-courses?f.Duration+-+3a%7CFUNcmnt1k7vac9j1m5f7t5jvhcgq=2-3+years&f.Tabs%7CtypeCourse=Courses&log=false&num_ranks=9&profile=_default&query=%7CcourseStudyLevel%3Agraduate-coursework%7CcourseStudyMode%3Aonline%7CcourseLocation%3Aonline&collection=uom%7Esp-courses ; https://study.unimelb.edu.au/study-with-us/online-courses?f.Tabs%7CtypeCourse=Courses&log=false&num_ranks=9&profile=_default&query=%7CcourseStudyLevel%3Agraduate-coursework%7CcourseStudyMode%3Aonline%7CcourseLocation%3Aonline&collection=uom%7Esp-courses&f.Duration+-+3a%7CFUN9nruerqcvdaus06ioht9bc7kz=3-4+years
mature age entry pathways,5,1,https://study.unimelb.edu.au/how-to-apply/undergraduate-study/mature-age ; https://study.unimelb.edu.au/how-to-apply/special-entry-access-schemes/access-melbourne-undergraduate/eligibility/non-school-leaver/special-tertiary-admissions-test-stat ; https://study.unimelb.edu.au/how-to-apply/special-entry-access-schemes/access-melbourne-undergraduate/eligibility/non-school-leaver/scholastic-aptitude-test-sat ; https://study.unimelb.edu.au/how-to-apply/equity-entry-schemes/access-melbourne-undergraduate/mature-age ; https://study.unimelb.edu.au/how-to-apply/special-entry-access-schemes/access-melbourne-undergraduate/access-melbourne-eligibility/mature-age
applications,5,1,https://study.unimelb.edu.au/how-to-apply/undergraduate-study/international-applications/applications ; https://study.unimelb.edu.au/how-to-apply/international-exchange-and-study-abroad-applications/applications ; https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/domestic-applications/applications ; https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/international-applications/applications ; https://study.unimelb.edu.au/how-to-apply/single-subject-study/applications
offers and enrolments,5,1,https://study.unimelb.edu.au/how-to-apply/international-exchange-and-study-abroad-applications/offers-and-enrolments ; https://study.unimelb.edu.au/how-to-apply/undergraduate-study/domestic-applications/offers-and-enrolments ; https://study.unimelb.edu.au/how-to-apply/undergraduate-study/international-applications/offers-and-enrolments ; https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/domestic-applications/offers-and-enrolments ; https://study.unimelb.edu.au/how-to-apply/graduate-coursework-study/international-applications/offers-and-enrolments
alumni news,5,1,https://www.unimelb.edu.au/alumni/stay-connected/news-and-stories ; https://www.unimelb.edu.au/alumni/stay-connected/news-and-stories?filter=alumni ; https://www.unimelb.edu.au/alumni/stay-connected/news-and-stories?filter=community ; https://www.unimelb.edu.au/alumni/stay-connected/news-and-stories?filter=research ; https://www.unimelb.edu.au/alumni/stay-connected/news-and-stories?filter=volunteering
meet graduate researchers,4,1,https://arts.unimelb.edu.au/school-of-culture-and-communication/graduate-researchers ; https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/graduate-researchers ; https://arts.unimelb.edu.au/school-of-languages-and-linguistics/graduate-researchers ; https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/our-people/graduate-researchers
research publications,4,2,https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/our-research/publications ; https://arts.unimelb.edu.au/school-of-languages-and-linguistics/our-research/research-publications ; https://arts.unimelb.edu.au/national-centre-for-contemporary-islamic-studies/research/research-publications ; https://education.unimelb.edu.au/cws/research/publications
current research projects,4,3,https://arts.unimelb.edu.au/research-unit-for-indigenous-language/research/current-research-projects ; https://arts.unimelb.edu.au/school-of-languages-and-linguistics/our-research/current-research-projects ; https://law.unimelb.edu.au/centres/celrl/research/current-research-projects ; https://mdhs.unimelb.edu.au/diversity-and-inclusion/initiatives/mdhs-diversity-and-inclusion-grants/grants
discipline areas,4,1,https://arts.unimelb.edu.au/school-of-culture-and-communication/discipline-areas ; https://arts.unimelb.edu.au/school-of-languages-and-linguistics/discipline-areas ; https://arts.unimelb.edu.au/asia-institute/discipline-areas ; https://arts.unimelb.edu.au/school-of-historical-and-philosophical-studies/discipline-areas
videos,4,3,https://arts.unimelb.edu.au/language-testing-research-centre/resources/videos ; https://arts.unimelb.edu.au/language-testing-research-centre/research/resources ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/resources/videos ; https://msd.unimelb.edu.au/public-programs/online-collections/symposiums/sdg-cities/videos
melbourne peer mentor program,4,2,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/melbourne-peer-mentor-program ; https://students.unimelb.edu.au/student-life/peer-mentor-program ; https://students.unimelb.edu.au/student-life/peer-mentor-program?in_c=sinfo-Navigation.source~.medium~.content~new-students ; https://students.unimelb.edu.au/student-life/peer-mentor-program?in_c=sinfo-Navigation.source~students.medium~sublink_menu.content~student-life
past exhibitions,4,3,https://arts.unimelb.edu.au/about/arts-west-gallery/past-exhibitions ; https://finearts-music.unimelb.edu.au/about-us/fiona-and-sidney-myer-gallery/past-exhibitions ; https://finearts-music.unimelb.edu.au/events/fsmg ; https://msd.unimelb.edu.au/public-programs/online-collections/exhibitions
school of biomedical sciences,4,2,https://biomedicalsciences.unimelb.edu.au/ ; https://biomedicalsciences.unimelb.edu.au/about/contact-us ; https://biomedicalsciences.unimelb.edu.au/home ; https://mdhs.unimelb.edu.au/our-organisation/school-of-biomedical-sciences2
study biomedical sciences,4,2,https://biomedicalsciences.unimelb.edu.au/study/our-degrees ; https://biomedicalsciences.unimelb.edu.au/departments/microbiology-Immunology/study/our-degrees ; https://biomedicalsciences.unimelb.edu.au/departments/archived-departments/pharmacology/study/our-degrees ; https://study.unimelb.edu.au/find/study-areas/biomedical-sciences/
department of anatomy and physiology,4,1,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology ; https://biomedicalsciences.unimelb.edu.au/departments/department-of-anatomy-and-physiology ; https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/ ; https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-neuroscience
dodd laboratory metabolic neuroscience,4,1,https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/anatomy-and-physiology-research/neuroscience/Dodd-laboratory-Metabolic-Neuroscience ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/anatomy-and-physiology-research/metabolic-and-cardiovascular-sciences/Dodd-laboratory-Metabolic-Neuroscience ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/physiology/Dodd-laboratory-Metabolic-Neuroscience ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/anatomy-and-physiology-research/systems-neuroscience/Dodd-laboratory-Metabolic-Neuroscience
tissue,4,2,"https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/t-cell-responses-to-infection,-lymphoid-stromal-cells,-and-imaging-the-immune-system/tissue-resident-memory-t-cells-in-the-skin ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/visualising-the-immune-system-in-action/Tissue-resident-memory-T-cells ; https://biomedicalsciences.unimelb.edu.au/sbs-research-groups/microbiology-and-immunology-research-groups/t-cell-responses-to-infection,-lymphoid-stromal-cells,-and-imaging-the-immune-system/Tissue-resident-memory-T-cells ; https://research.unimelb.edu.au/commercialisation/business-and-investors/solutions-available-for-licensing/tissue-engineered-corneal-endothelium-graft"
quota subjects,4,3,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/quota-subjects ; https://msd.unimelb.edu.au/current-students/subject-information/quota-subjects ; https://students.unimelb.edu.au/course-admin/quota-subjects ; https://students.unimelb.edu.au/your-course/manage-your-course/subject-enrolment/quota-subjects
spotlight on research possibilities,4,1,https://biomedicalsciences.unimelb.edu.au/study/master-of-biomedical-science/meet-our-experts-and-discover-research-possibilities ; https://biomedicalsciences.unimelb.edu.au/research/master-of-biomedical-science/meet-our-experts-and-discover-research-possibilities ; https://biomedicalsciences.unimelb.edu.au/study/master-of-biomedical-science/meet-our-experts-and-discover-research-possibilities/_nocache/ ; https://biomedicalsciences.unimelb.edu.au/study/master-of-biomedical-science/meet-our-experts-and-discover-research-possibilities/_nocache
services,4,2,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/research/services ; https://biomedicalsciences.unimelb.edu.au/departments/department-of-biochemistry-and-pharmacology/research/services ; https://biomedicalsciences.unimelb.edu.au/departments/microbiology-Immunology/research/services ; https://medicine.unimelb.edu.au/school-structure/rural-health/research/services
bio,4,4,https://biomedicalsciences.unimelb.edu.au/research/services/research-equipment/bio-rad-qx100-droplet-digital-pcr-system ; https://education.unimelb.edu.au/cws/assets/cpp-news/bio-dash-for-schools-on-acer ; https://msd.unimelb.edu.au/public-programs/online-collections/exhibitions/future-protoyping-2020/exhibition/bio-fabrication-with-mycelium-and-kelp ; https://research.unimelb.edu.au/commercialisation/business-and-investors/solutions-available-for-licensing/bio-dash
connect with us,4,3,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/engage/centre-for-muscle-research/engage/connect-with-us ; https://mdhs.unimelb.edu.au/about/innovation-and-enterprise/opportunities ; https://mdhs.unimelb.edu.au/research/innovation-and-enterprise/opportunities ; https://study.unimelb.edu.au/connect-with-us
academic skills,4,2,"https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/academic-skills ; https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/academic-skills ; https://eng.unimelb.edu.au/students/coursework/study-resources/academic-skills ; https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/improve-your-english,-communication-and-academic-skills/academic-skills"
student clubs and societies,4,2,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/student-clubs-and-societies ; https://eng.unimelb.edu.au/students/clubs ; https://eng.unimelb.edu.au/students/coursework/progress-your-career/well-being-series/clubs ; https://eng.unimelb.edu.au/students/research/life-at-feit/student-clubs
deans honours list,4,4,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/deans-honours-list ; https://eng.unimelb.edu.au/students/scholarships-prizes-and-awards/coursework-students/deans-honours-award ; https://fbe.unimelb.edu.au/scholarships/prizes/deans-honours-list ; https://mbs.unimelb.edu.au/career/your-community/deans-honours-list
researchers,4,4,https://biomedicalsciences.unimelb.edu.au/departments/anatomy-and-physiology/engage/scs/assets/archive-page/people/researchers ; https://eng.unimelb.edu.au/csdila/people/researchers ; https://mdhs.unimelb.edu.au/digitalhealth/our-work/validitron/researchers ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/research-groups/data-for-decisions/our-community/researchers
dr melanie eckersley,4,1,https://biomedicalsciences.unimelb.edu.au/news-and-events/dr-melanie-eckersley-maslin-awarded-prestigious-snow-fellowship ; https://biomedicalsciences.unimelb.edu.au/news-and-events/archive-news/dr-melanie-eckersley-maslin-awarded-prestigious-snow-fellowship ; https://biomedicalsciences.unimelb.edu.au/news-and-events/e-meet-a-biomedical-scientist-2023/dr-melanie-eckersley-maslin ; https://biomedicalsciences.unimelb.edu.au/news-and-events/archive-news/e-meet-a-biomedical-scientist-2023/dr-melanie-eckersley-maslin
our venomous neighbours,4,1,https://biomedicalsciences.unimelb.edu.au/departments/department-of-biochemistry-and-pharmacology/engage/avru/blog/our-venomous-neighbours-ants ; https://biomedicalsciences.unimelb.edu.au/departments/department-of-biochemistry-and-pharmacology/engage/avru/blog/our-venomous-neighbours-brown-snakes ; https://biomedicalsciences.unimelb.edu.au/departments/department-of-biochemistry-and-pharmacology/engage/avru/blog/our-venomous-neighbours ; https://biomedicalsciences.unimelb.edu.au/departments/pharmacology/engage/avru/blog/our-venomous-neighbours-brown-snakes
snake predation strategies,4,1,https://biomedicalsciences.unimelb.edu.au/departments/department-of-biochemistry-and-pharmacology/engage/avru/blog/snake-predation-strategies-part-2-venom-and-constriction ; https://biomedicalsciences.unimelb.edu.au/departments/department-of-biochemistry-and-pharmacology/engage/avru/blog/snake-predation-strategies-part-1-bodies-and-behaviours ; https://biomedicalsciences.unimelb.edu.au/departments/pharmacology/engage/avru/blog/snake-predation-strategies-part-1-bodies-and-behaviours ; https://biomedicalsciences.unimelb.edu.au/departments/pharmacology/engage/avru/blog/snake-predation-strategies-part-2-venom-and-constriction
study dentistry at melbourne dental school,4,2,https://dental.unimelb.edu.au/ ; https://dental.unimelb.edu.au/study ; https://dental.unimelb.edu.au/study?in_c=mega ; https://mdhs.unimelb.edu.au/our-organisation/melbourne-dental-school2
research students,4,3,https://education.unimelb.edu.au/study/graduate-research/current-students/scholarships/scholarships ; https://education.unimelb.edu.au/study/scholarships/opportunities/research-students ; https://fbe.unimelb.edu.au/economics/trade/our-people/students ; https://medicine.unimelb.edu.au/school-structure/paediatrics/study/current-student-resources/research-students
graduate research scholarships,4,3,https://education.unimelb.edu.au/study/graduate-research/current-students/scholarships/my-graduate-research-scholarship ; https://mdhs.unimelb.edu.au/research/research-training/current-students/scholarships/manage-my-scholarship ; https://scholarships.unimelb.edu.au/awards/graduate-research-scholarships/ ; https://scholarships.unimelb.edu.au/awards/graduate-research-scholarships
sustainability,4,3,https://education.unimelb.edu.au/about/sustainability ; https://education.unimelb.edu.au/about/sustainability?in_c=mega ; https://eng.unimelb.edu.au/nanomaterials/sustainability ; https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/about-us/sustainability
cybersecurity,4,2,https://eng.unimelb.edu.au/ingenium/cybersecurity?in_c=homepage-browse ; https://eng.unimelb.edu.au/ingenium/cybersecurity ; https://eng.unimelb.edu.au/industry/defence/capabilities/cybersecurity ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/research-groups/health-and-biomedical-research-information-technology-unit/content/cybersecurity
high,4,2,https://eng.unimelb.edu.au/ingenium/high-tech-equipment-boosts-universitys-hydrogen-and-space-research ; https://eng.unimelb.edu.au/ingenium/infrastructure/high-tech-equipment-boosts-universitys-hydrogen-and-space-research/ ; https://eng.unimelb.edu.au/ingenium/infrastructure/high-tech-equipment-boosts-universitys-hydrogen-and-space-research ; https://handbook.unimelb.edu.au/2026/subjects/binf90017
murray,4,1,https://eng.unimelb.edu.au/ingenium/murray-darling-water-buybacks-wont-be-enough-if-we-cant-get-water-to-where-its-needed ; https://eng.unimelb.edu.au/industry/water/events/murray-darling-truths ; https://eng.unimelb.edu.au/mric/resources/murray-darling-basin-plan-groundwater-methods-report-and-report-cards. ; https://eng.unimelb.edu.au/mric/resources/murray-darling-basin-authority-publications
artificial intelligence,4,2,https://eng.unimelb.edu.au/industry/artificial-intelligence ; https://eng.unimelb.edu.au/industry/defence/capabilities/artificial-intelligence ; https://eng.unimelb.edu.au/industry/sustainable-resources/research/smart-mining-and-processing ; https://medicine.unimelb.edu.au/research-groups/medicine-research/st-vincents-hospital/digital-health/retinal-image-assessment
current projects,4,3,https://eng.unimelb.edu.au/mric/projects/current-projects ; https://law.unimelb.edu.au/centres/mls-hr-program/research/current-projects ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/research-groups/data-for-decisions/projects/current-projects ; https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/research/research-groups/health-and-biomedical-research-information-technology-unit/projects/current-projects
2023,4,2,https://eng.unimelb.edu.au/csdila/news/2023 ; https://law.unimelb.edu.au/students/career-services/services-and-resources/ellis-program/2023 ; https://law.unimelb.edu.au/centres/mcle/news-and-events/conferences-and-seminars/2023 ; https://law.unimelb.edu.au/centres/celrl/news-and-events/past-events/2023
faculty course planning resources,4,2,https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/further-support/faculty-course-planning-resources ; https://students.unimelb.edu.au/course-admin/planning-your-course-and-subjects/faculty-course-planning-resources ; https://students.unimelb.edu.au/your-course/manage-your-course/planning-your-course-and-subjects/faculty-course-planning-resources ; https://students.unimelb.edu.au/your-course/manage-your-course/planning-your-course-and-subjects/faculty-course-planning-resources?in_c=sinfo-Breadth2024.source~students.medium~page_link.content~
workshops,4,3,https://eng.unimelb.edu.au/mric/dev-new/growing-smarter-in-the-mallee-2022/nav/workshops ; https://eng.unimelb.edu.au/mric/growing-smarter-in-the-mallee/nav/workshops ; https://law.unimelb.edu.au/centres/mcle/research/workshops ; https://mdhs.unimelb.edu.au/research/research-training/current-students/professional-development/workshops
centre for actuarial studies,4,1,https://fbe.unimelb.edu.au/economics/act ; https://fbe.unimelb.edu.au/economics/ACT ; https://fbe.unimelb.edu.au/economics/ACT?in_c=learn_more_centre_Centre%20for%20Actuarial%20Studies ; https://fbe.unimelb.edu.au/economics/act?in_c=learn_more_centre_Centre%20for%20Actuarial%20Studies
economic theory,4,1,https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-christoph-carnehl-bocconi-university ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-georgios-gerasimou-university-of-glasgow ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-duygu-yengin-university-of-adelaide ; https://fbe.unimelb.edu.au/economics/events/ecotheory/economic-theory-wanying-kate-huang-caltech
hnsel und gretel,4,1,https://finearts-music.unimelb.edu.au/showcase/archived/2024/events/hansel-und-gretel ; https://finearts-music.unimelb.edu.au/showcase/archived/2024/events/hansel-and-gretel-schools-and-families ; https://finearts-music.unimelb.edu.au/showcase/archived/2024/2024-graduating-season/stage/hansel-and-gretel-schools-and-families ; https://finearts-music.unimelb.edu.au/showcase/archived/2024/2024-graduating-season/stage/hansel-und-gretel
music,4,1,https://finearts-music.unimelb.edu.au/showcase/archived/2022/2022-graduating-season/music ; https://finearts-music.unimelb.edu.au/showcase/2025/2025-graduating-season/music ; https://finearts-music.unimelb.edu.au/showcase/archived/2024/2024-graduating-season/music ; https://finearts-music.unimelb.edu.au/showcase/archived/2023/2023-graduating-season/music
program note from the director,4,1,https://finearts-music.unimelb.edu.au/showcase/archived/2024/events/hansel-und-gretel/program-note-from-the-director ; https://finearts-music.unimelb.edu.au/showcase/archived/2024/events/hansel-and-gretel-schools-and-families/program-note-from-the-director ; https://finearts-music.unimelb.edu.au/showcase/archived/2024/2024-graduating-season/stage/hansel-and-gretel-schools-and-families/program-note-from-the-director ; https://finearts-music.unimelb.edu.au/showcase/archived/2024/2024-graduating-season/stage/hansel-und-gretel/program-note-from-the-director
bachelor of music b,4,1,https://handbook.unimelb.edu.au/2026/courses/b-mus ; https://handbook.unimelb.edu.au/2026/courses/b-mus/print ; https://handbook.unimelb.edu.au/2026/courses/b-mus/notes ; https://handbook.unimelb.edu.au/2021/courses/b-mus
master of actuarial science mc,4,1,https://handbook.unimelb.edu.au/2026/courses/mc-actsc ; https://handbook.unimelb.edu.au/courses/mc-actsc ; https://handbook.unimelb.edu.au/courses/mc-actsc/print ; https://handbook.unimelb.edu.au/courses/mc-actsc/notes
educating tomorrows leaders,4,1,https://law.unimelb.edu.au/about/mls-video-gallery/people-and-life-at-mls/john-tobin ; https://law.unimelb.edu.au/about/mls-video-gallery/people-and-life-at-mls/ian-malkin ; https://law.unimelb.edu.au/about/mls-video-gallery/people-and-life-at-mls/matthew-bell ; https://law.unimelb.edu.au/about/mls-video-gallery/people-and-life-at-mls/caron-beaton-wells
call for papers,4,1,https://law.unimelb.edu.au/news/cilis/call-for-papers-15th-annual-cilis-islamic-studies-postgraduate-conference ; https://law.unimelb.edu.au/centres/alc/news-and-events/2026-alc-graduate-student-workshop/call-for-papers ; https://law.unimelb.edu.au/news/alc/call-for-papers-issues-in-public-law-in-south-asia-workshop ; https://law.unimelb.edu.au/news/alc/call-for-papers-life-imprisonment-in-asia-law-and-practice-online-international-conference
study options,4,1,https://law.unimelb.edu.au/centres/mccl/research/research-programs/construction-law/study-options ; https://law.unimelb.edu.au/centres/mccl/research/research-programs/consumer-law-and-policy/study-options ; https://law.unimelb.edu.au/centres/mccl/research/research-programs/corporate-law-and-financial-regulation/study-options ; https://law.unimelb.edu.au/centres/mccl/research/research-programs/taxation-law-and-policy/study-options
the academic skills circle tasc,4,1,https://law.unimelb.edu.au/centres/iilah/news-and-events/events-2023/the-academic-skills-circle-tasc-session-4 ; https://law.unimelb.edu.au/centres/iilah/news-and-events/events-2023/the-academic-skills-circle-tasc-session-3 ; https://law.unimelb.edu.au/centres/iilah/news-and-events/events-2023/the-academic-skills-circle-tasc-session-2 ; https://law.unimelb.edu.au/centres/iilah/news-and-events/events-2023/the-academic-skills-circle-tasc-session-1
meet the team,4,3,https://law.unimelb.edu.au/centres/statelessness/research/research-projects/the-oral-histories-project/being-stateless-an-oral-history-podcast/meet-the-team ; https://medicine.unimelb.edu.au/school-structure/psychiatry/study/meet-the-team-department-of-psychiatry ; https://medicine.unimelb.edu.au/school-structure/medical-education/about-us/wurru-wurru-institute/about-us/meet-the-team ; https://services.unimelb.edu.au/health/about/meet-our-team
centre for digital transformation of health,4,1,https://mdhs.unimelb.edu.au/digitalhealth/_recache ; https://mdhs.unimelb.edu.au/digitalhealth ; https://mdhs.unimelb.edu.au/digitalhealth/home ; https://mdhs.unimelb.edu.au/our-organisation/institutes-centres-departments/CDHT
global,4,3,https://mdhs.unimelb.edu.au/advancing-health-2030/global ; https://mdhs.unimelb.edu.au/international-partnership/global ; https://medicine.unimelb.edu.au/about/advancing-medicine/global ; https://research.unimelb.edu.au/partnerships/collaborate/international-research-partnerships/international-priorities-and-partnerships
obstetrics gynaecology and newborn health,4,1,https://medicine.unimelb.edu.au/school-structure/obstetrics-and-gynaecology ; https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health ; https://medicine.unimelb.edu.au/research-groups/obstetrics-and-gynaecology-research ; https://medicine.unimelb.edu.au/research/research-by-department/obstetrics-and-gynaecology-research-groups
evidence,4,2,https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/news-and-events/evidence-based-ivf-information ; https://medicine.unimelb.edu.au/mms/mms-staff-news/bulletin-issue-5-june-2025/evidence-based-ivf-information-website-launched ; https://medicine.unimelb.edu.au/school-structure/paediatrics/research/developmental-mental-health/research/projects/anxiety-cpg ; https://research.unimelb.edu.au/strengths/updates/news/evidence-based-lifestyle-guides-for-minimising-impact-multiple-sclerosis
graduate research degree awarded,4,1,https://medicine.unimelb.edu.au/school-structure/paediatrics/news-and-events/graduate-research-news/gr/graduate-research-degree-awarded ; https://medicine.unimelb.edu.au/school-structure/paediatrics/news-and-events/graduate-research-news/gr/graduate-research-degree-awarded-claire-moore2 ; https://medicine.unimelb.edu.au/school-structure/paediatrics/news-and-events/graduate-research-news/gr/graduate-research-degree-awarded-claire-moore ; https://medicine.unimelb.edu.au/school-structure/paediatrics/news-and-events/graduate-research-news/gr/graduate-research-degree-awarded-hannah-walker
phd confirmation seminar,4,1,https://medicine.unimelb.edu.au/school-structure/critcare/news-and-events/phd-completion-seminar-samantha-bates ; https://medicine.unimelb.edu.au/school-structure/critcare/news-and-events/phd-completion-seminar-kate-emery ; https://medicine.unimelb.edu.au/school-structure/critcare/about-us/phd-completion-seminars/docc-phd-completion-seminar/phd-completion-seminar-samantha-bates ; https://medicine.unimelb.edu.au/school-structure/critcare/about-us/phd-completion-seminars/docc-phd-completion-seminar/phd-completion-seminar-kate-emery
